CloudCache,moodle-2012-11-26-1.blk,0.10,457355,fomo_lirs_11,,4270622,4095034,4211559,4095034,3637679,0,998229,6800999,3272393,1505594,0
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,fomo_lru,,3934586,2698203,5944426,2698203,2240848,0,555877,7243351,3378709,1399278,0
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,fomo_lru_11,,4206589,4366937,4003689,4366937,3909582,0,790680,7008548,3415909,1362078,0
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,larc,,3762496,1369063,7445656,1369063,911708,0,405899,7393329,3356597,1421390,70505
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,lirs,,4637975,7939240,0,7939240,7481885,0,1125581,6673647,3512394,1265593,998029
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,lru,,4288558,8288657,0,8288657,7831302,0,734181,7065047,3554377,1223610,1090401
CloudCache,moodle-2012-11-26-1.blk,0.10,457355,marc,,3608114,3697915,5271186,3697915,3240560,0,282420,7516808,3325694,1452293,483340
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,arc,,4517202,8060013,0,8060013,7373981,0,937870,6861358,3579332,1198655,899410
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_arc,,4124785,2862751,5589679,2862751,2176719,0,616747,7182481,3508038,1269949,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_arc_11,,4379993,4068898,4128324,4068898,3382866,0,857935,6941293,3522058,1255929,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_lirs,,4387953,2930181,5259081,2930181,2244149,0,1131603,6667625,3256350,1521637,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_lirs_11,,4555636,3974112,4047467,3974112,3288080,0,1252749,6546479,3302887,1475100,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_lru,,4053471,2901842,5621902,2901842,2215810,0,610176,7189052,3443295,1334692,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,fomo_lru_11,,4336495,4227312,4013408,4227312,3541280,0,854331,6944897,3482164,1295823,0
CloudCache,moodle-2012-11-26-1.blk,0.15,686032,larc,,4152639,1585616,6838960,1585616,899584,0,724557,7074671,3428082,1349905,68594
